                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.219,                 4.2782,                 4.3244,                0.00268,                0.54572,                0.00305,                0.00126,                 3.0284,                 4.1064,                 4.1572,                 0.0002,                 0.0002,                 0.0002
                      1,                 3.2151,                 4.1645,                 4.1989,                0.00257,                0.54294,                0.00299,                0.00131,                 3.0244,                 4.0996,                 4.1494,             0.00041209,             0.00041209,             0.00041209
                      2,                 3.1049,                 4.0516,                 4.1057,                0.00262,                0.54878,                0.00439,                0.00202,                 2.9852,                  4.142,                 4.0955,             0.00062376,             0.00062376,             0.00062376
                      3,                 3.1116,                 3.8922,                  3.938,                0.00263,                0.54743,                0.01091,                 0.0038,                 2.9867,                 4.1855,                 4.1283,             0.00083501,             0.00083501,             0.00083501
                      4,                 3.0257,                 3.7442,                 3.7508,                0.00257,                0.54054,                0.02014,                 0.0063,                 3.0204,                 3.9452,                 4.2581,              0.0010458,              0.0010458,              0.0010458
                      5,                  2.965,                 3.5762,                 3.6295,                0.80857,                0.04286,                 0.0393,                0.00802,                 2.9282,                 3.9643,                  3.776,              0.0012438,              0.0012438,              0.0012438
                      6,                 2.8014,                 3.4288,                 3.5077,                0.07475,                0.11756,                0.06905,                0.01628,                 2.7955,                 3.9304,                 3.8397,              0.0012438,              0.0012438,              0.0012438
                      7,                 2.7399,                 3.3794,                 3.4036,                0.01759,                0.20351,                0.01895,                0.00518,                 3.1451,                 10.837,                 4.6157,              0.0012426,              0.0012426,              0.0012426
                      8,                 2.6543,                 3.1887,                 3.2322,                0.57274,                0.18349,                0.08387,                0.02954,                 2.6827,                 10.821,                 3.6391,              0.0012413,              0.0012413,              0.0012413
                      9,                 2.6197,                 3.0584,                 3.2074,                0.04842,                0.22743,                0.03784,                0.01314,                 2.7976,                 12.757,                 3.9512,              0.0012401,              0.0012401,              0.0012401
                     10,                 2.4501,                 2.9869,                 3.0516,                0.62096,                0.21576,                0.16677,                0.06173,                 2.3368,                 4.3292,                 3.1093,              0.0012389,              0.0012389,              0.0012389
                     11,                 2.3724,                 2.8661,                 2.9535,                0.17149,                0.43876,                0.20534,                0.07978,                 2.3351,                 8.0171,                  3.157,              0.0012376,              0.0012376,              0.0012376
                     12,                 2.2686,                 2.8608,                 2.8414,                 0.5861,                0.35192,                0.34977,                0.18227,                  2.205,                 7.2921,                 3.1239,              0.0012364,              0.0012364,              0.0012364
                     13,                 2.2743,                 2.7864,                 2.8192,                0.40704,                0.53995,                0.42761,                0.21354,                 1.9375,                 2.8327,                 2.6932,              0.0012351,              0.0012351,              0.0012351
                     14,                 2.1582,                 2.6445,                 2.7519,                0.52521,                0.51308,                0.47806,                0.28652,                 1.8864,                  3.173,                 2.6456,              0.0012339,              0.0012339,              0.0012339
                     15,                 2.1911,                  2.676,                 2.7098,                0.50576,                0.47506,                 0.4411,                0.23133,                 1.9467,                 2.5953,                 2.7518,              0.0012327,              0.0012327,              0.0012327
                     16,                 1.9456,                 2.5212,                 2.5311,                0.48367,                0.35009,                0.25178,                0.09426,                 2.4551,                  3.275,                  3.243,              0.0012314,              0.0012314,              0.0012314
                     17,                 1.8745,                 2.4432,                 2.4706,                0.79314,                0.38725,                0.57165,                0.31812,                 1.6889,                 2.5063,                 2.4716,              0.0012302,              0.0012302,              0.0012302
                     18,                 1.8406,                 2.3755,                 2.4284,                0.44075,                0.51813,                0.46009,                0.21424,                 1.8323,                 2.5046,                 2.5615,               0.001229,               0.001229,               0.001229
                     19,                 1.8082,                 2.2062,                 2.4113,                 0.4704,                0.41519,                0.47877,                0.27607,                 1.7381,                  2.127,                 2.5657,              0.0012277,              0.0012277,              0.0012277
                     20,                 1.7166,                 2.1919,                 2.3339,                0.44763,                0.47607,                0.52756,                0.30701,                 1.7527,                  2.069,                 2.5967,              0.0012265,              0.0012265,              0.0012265
                     21,                 1.6639,                 2.0232,                 2.2117,                0.57902,                0.55556,                0.64267,                0.38458,                 1.4793,                 2.2587,                 2.2626,              0.0012252,              0.0012252,              0.0012252
                     22,                 1.5914,                 1.9971,                 2.1685,                0.49289,                0.59101,                0.51825,                0.28313,                   1.63,                 2.1764,                 2.3529,               0.001224,               0.001224,               0.001224
                     23,                 1.6321,                 2.0145,                 2.1971,                0.65938,                0.57275,                0.61199,                0.36795,                 1.4688,                 2.0782,                 2.1881,              0.0012228,              0.0012228,              0.0012228
                     24,                 1.5473,                 2.0503,                 2.1473,                0.78539,                0.55963,                0.64582,                0.43894,                 1.3669,                 1.7615,                 2.0547,              0.0012215,              0.0012215,              0.0012215
